Clave,Nombre,Existencia,Precio,Precio_distribuidor
NAHUI30ML,NAHUI VITAMINA C BOOSTER SERUM FACIAL,175,25,50
NARANJA125ML,NARANJA 125ML,20,25,50
NARANJA60ML,NARANJA 60ML,21,25,50
NSNAXO50,NAXO 50 GRS,74,25,50
NELLI125ML,NELLI 125ML,231,25,50
NELLI250ML,NELLI 250ML,181,25,50
NIKTE200GRS,NIKTE 200GRS,113,25,50
NSNIMA250,NIMA 250 GRS,33,25,50
NIZA125ML,NIZA 125ML,84,25,50
NOPALLI6D3ML,NOPALLI 6D3ML,30,25,50
NUSCAA260ML,NUSCAA 260ML,50,25,50
OLLIN250GR,OLLIN 250GR,191,25,50
OLLIN500GRS,OLLIN 500GRS,127,25,50
OME1LT,OME HIDROLATO TAURINA Y CANNABINOIDES 1LT,92,25,50
PAPATZI125ML,PAPATZI 125ML,403,25,50
PAPATZI250ML,PAPATZI 250ML,216,25,50
PAQUETEMUESTRACORPOR,PAQUETE 10 MUESTRAS DE CORPORAL,3,25,50
PAQUETEMUESTRAFACIAL,PAQUETE 12 MUESTRAS DE FACIAL,4,25,50
PAQUETEMUESTRAFAYCO,PAQUETE 17 MUESTRAS DE FACIAL Y CORPORAL,-1,25,50
3GRADOFACIALCETIS,"PAQUETE CETIS DE AMEYAL, ATZI, ZHUNKA 125, YARETZI, AYARI, ARUMA, LIME, BACHIA 50GR, HASEN 30ML, UETZCAYOTL 40ML, YEZTZI, NOPALLI E ITZI",5,25,50
3GRADOCORPORALCETIS,"PAQUETE CETIS DE IXCHEL 125ML, ZIX 50GRS, ACEITE MASAJE 125ML, TONALLI 100GR, OLLIN 250ML, YOLOT 100GR Y JUN",4,25,50
PAQUETENANACATLELI40,PAQUETE DE PROMOCION NANACATL Y ELI DE 40ML,-1,25,50
PMUJE1,PERFUME ALMA PEREGRINA 1,0,25,50
PMUJE2,PERFUME ALMA PEREGRINA 2,0,25,50
PMUJE3,PERFUME ALMA PEREGRINA 3,0,25,50
PERFUMEMADER,PERFUME HOMBRE MADERA,56,25,50
PHOMB1,PERFUME LUIS MIGUEL PEREGRINA 1,0,25,50
PHOMB2,PERFUME LUIS MIGUEL PEREGRINA 2,0,25,50
PHOMB3,PERFUME LUIS MIGUEL PEREGRINA 3,0,25,50
PERFUMEFLORAL,PERFUME MUJER FRUTAL,38,25,50
ACHURI20GRS,POLVOS ACHURI DE 20 GRS,144,25,50
CMANIV22,PROTECTORA DE MANOS ANIVERSARIO 125 ml,0,25,50
ROJO125ML,ROJO 125ML,21,25,50
ROJO60ML,ROJO 60ML,8,25,50
ROSA125ML,ROSA 125ML,0,25,50
ROSA60ML,ROSA 60ML,2,25,50
SATZIRA30ML,SATZIRA 30ML,67,25,50
SAWA250ML,SAWA 250 ML,29,25,50
SUGOLR,SERUM ONLY GOLD ROSE 20ML,10,25,50
IRISETMAS,SET DE 8 MASCARILLAS IRIS 8X20GR,1,25,50
NSSETI5D3ML,SETI AMP 5 DE 3 ML,45,25,50
SIL30ML,SIL 30ML ACLARANTE SUPREMO,150,25,50
TENEXTLI125ML,TENEXTLI 125ML,88,25,50
TENEXTLI250ML,TENEXTLI 250ML,273,25,50
TEOTL1LT,TEOTL 1LT,94,25,50
TETEO6D3ML,TETEO 6D3ML,61,25,50
TONALLI250GR,TONALLI 250GR,48,25,50
TONALLI500GRS,TONALLI 500GRS,54,25,50
TONALNA250GRS,TONALNA 250GRS,140,25,50
INDA250,TONICO INDA 250 ML,54,25,50
TOSALI250ML,TOSALI 250 ML,5,25,50
TSIRI250GRS,TSIRI 250GRS,29,25,50
UETZCAYOTL125ML,UETZCAYOTL 125ML,"1,126.00",25,50
UETZCAYOTL40ML,UETZCAYOTL 40ML,98,25,50
UUSI100G,UUSI 135 G,111,25,50
VIALTSUNI30ML,VIAL TSUNI 30ML,73,25,50
VIOLETA125ML,VIOLETA 125ML,51,25,50
VIOLETA60ML,VIOLETA 60ML,1,25,50
VISI50GR,VISI 50GR,127,25,50
XALLY600GRS,XALLY 600GRS,37,25,50
XAMAN6D3ML,XAMAN 6D3ML,105,25,50
NSXANAH50,XANAH 50 GRS,54,25,50
XDAN250,XDAN EXFOLIENTE CORPORAL 250 G,130,25,50
XOCHITL6D3ML,XOCHITL 6D3ML,121,25,50
XOCOLATH600GRS,XOCOLATH 600GRS,76,25,50
XOLOTL200GRS,XOLOTL 200GRS,49,25,50
NSYANEL100,YANEL 100 GRS,49,25,50
YAO250ML,YAO 250ML,90,25,50
YARETZI100GR,YARETZI 100GR,0,25,50
YARETZI250GR,YARETZI 250GR,199,25,50
YAXCHE125ML,YAXCHE 125ML,429,25,50
YAXCHE250ML,YAXCHE 250ML,87,25,50
YEI200GR,YEI MASCARILLA PLASTICA CANNABINOIDES DE 200 GRS,95,25,50
YEJ15GR,YEJ 15GR,15,25,50
YELITZA250GRS,YELITZA 250GRS,170,25,50
YEZTZI4DE3ML,YEZTZI 4DE3ML,72,25,50
YI125ML,YI 125ML,107,25,50
YI250ML,YI 250ML,117,25,50
YLLA6D3ML,YLLA 6D3ML,158,25,50
YOLOTL500GRS,YOLOTL 500GRS,43,25,50
YUI3D10ML,YUI 3D10ML,58,25,50
YUMKAM200GRS,YUMKAX 200GRS,204,25,50
YUNUEN15GRS,YUNUEN 15GRS,38,25,50
ZAZIL120ML,ZAZIL 120ML,2,25,50
ZHUNKAH125ML,ZHUNKAH 125ML,434,25,50
ZHUNKAH250ML,ZHUNKAH 250ML,49,25,50
ZIX1KG,ZIX 1KG,47,25,50
ZIX250GR,ZIX 250GR,79,25,50
ZYANYA6D3ML,ZYANYA 6D3ML,14,25,50
